gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3898458726	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-AD-H23	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae				FAMILY	Bignoniaceae	Bignoniaceae		CO	Hacienda El Ceibal	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.612222	-75.239722			47.0	0.0			2022-06-22T00:00:00	22	6	2022	6655		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.853Z		COORDINATE_ROUNDED
3898458725	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-AD-H24	Plantae	Tracheophyta	Magnoliopsida	Ericales	Lecythidaceae	Lecythis	Lecythis minor		SPECIES	Lecythis minor Jacq.	Lecythis minor	Jacq.	CO	Hacienda El Ceibal	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.612222	-75.239722			47.0	0.0			2022-06-22T00:00:00	22	6	2022	3082392	3082392	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.852Z		COORDINATE_ROUNDED
3898458724	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-AD-H21	Plantae	Tracheophyta	Magnoliopsida	Ericales	Lecythidaceae	Lecythis	Lecythis minor		SPECIES	Lecythis minor Jacq.	Lecythis minor	Jacq.	CO	Hacienda El Ceibal	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.612222	-75.239722			47.0	0.0			2022-06-22T00:00:00	22	6	2022	3082392	3082392	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.852Z		COORDINATE_ROUNDED
3898458723	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-AD-H22	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae				FAMILY	Bignoniaceae	Bignoniaceae		CO	Hacienda El Ceibal	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.612222	-75.239722			47.0	0.0			2022-06-22T00:00:00	22	6	2022	6655		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.851Z		COORDINATE_ROUNDED
3898458722	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-AD-H20	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Capparidastrum	Capparidastrum frondosum		SPECIES	Capparidastrum frondosum (Jacq.) Cornejo & Iltis	Capparidastrum frondosum	(Jacq.) Cornejo & Iltis	CO	Hacienda El Ceibal	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.612222	-75.239722			47.0	0.0			2022-06-22T00:00:00	22	6	2022	6069332	6069332	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.850Z		COORDINATE_ROUNDED
3898458721	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-BR-H13	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Capparidastrum	Capparidastrum frondosum		SPECIES	Capparidastrum frondosum (Jacq.) Cornejo & Iltis	Capparidastrum frondosum	(Jacq.) Cornejo & Iltis	CO	Parque Natural Regional Bosque Seco El Ceibal Mono Titi	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.635278	-75.243611			10.0	0.0			2022-06-13T00:00:00	13	6	2022	6069332	6069332	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.849Z		COORDINATE_ROUNDED
3898458720	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-BR-H14	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Maytenus	Maytenus longipes		SPECIES	Maytenus longipes Briq.	Maytenus longipes	Briq.	CO	Parque Natural Regional Bosque Seco El Ceibal Mono Titi	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.635278	-75.243611			10.0	0.0			2022-06-13T00:00:00	13	6	2022	3792196	3792196	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.848Z		COORDINATE_ROUNDED
3898458719	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-BR-H15	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Capparidastrum	Capparidastrum frondosum		SPECIES	Capparidastrum frondosum (Jacq.) Cornejo & Iltis	Capparidastrum frondosum	(Jacq.) Cornejo & Iltis	CO	Parque Natural Regional Bosque Seco El Ceibal Mono Titi	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.635278	-75.243611			10.0	0.0			2022-06-13T00:00:00	13	6	2022	6069332	6069332	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.848Z		COORDINATE_ROUNDED
3898458718	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-BR-H16	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Sorocea	Sorocea sprucei		SPECIES	Sorocea sprucei (Baill.) J.F.Macbr.	Sorocea sprucei	(Baill.) J.F.Macbr.	CO	Parque Natural Regional Bosque Seco El Ceibal Mono Titi	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.635278	-75.243611			10.0	0.0			2022-06-13T00:00:00	13	6	2022	7262364	7262364	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.847Z		COORDINATE_ROUNDED
3898458717	09c35210-0fb1-424a-ad3f-6f8ab866bc97	Promigas:Paiva-Caracoli:2022_ER-BR-H10	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Maytenus	Maytenus longipes		SPECIES	Maytenus longipes Briq.	Maytenus longipes	Briq.	CO	Parque Natural Regional Bosque Seco El Ceibal Mono Titi	Bolívar	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.635278	-75.243611			10.0	0.0			2022-06-13T00:00:00	13	6	2022	3792196	3792196	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Gina M. Rodríguez M.		CC_BY_NC_4_0		Rosa Arrieta;Lino Olivares			2023-01-24T15:08:34.846Z		COORDINATE_ROUNDED
