N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
1	ACANTHACEAE	Aphelandra	Aphelandra albert-smithii	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	McDade 998 (MO)	Tipo de Colombia	Valle del Magdalena	340 m	700 m	Antioquia, Santander	
2	ACANTHACEAE	Aphelandra	Aphelandra alexandri	Leonard		Leonard 1935, Leonard 1953a, Wasshausen 1975		Subarbusto	Nativa	No Evaluada	Lawrance 601 (K, MO)	Conocida solo del tipo	Andes	1219 m	1524 m	Boyac?	
3	ACANTHACEAE	Aphelandra	Aphelandra antioquiensis	Wassh.		Wasshausen 1989a		Hierba, Subarbusto	Nativa	No Evaluada	Callejas 4711 (HUA, MO)	Tipo de Colombia	Valle del Magdalena	300 m	820 m	Antioquia	
4	ACANTHACEAE	Aphelandra	Aphelandra arisema	Leonard		Leonard 1953a, Wasshausen 1975		Hierba, Subarbusto	Nativa	No Evaluada	Lozano 5066 (COL)	Tipo de Colombia	Pac?fico	0 m	230 m	Cauca, Nari?o	
5	ACANTHACEAE	Aphelandra	Aphelandra aristei	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Ariste-Joseph s.n. (US)	Tipo de Colombia	Andes	1500 m	1500 m	Cundinamarca	
6	ACANTHACEAE	Aphelandra	Aphelandra barkleyi	Leonard		Leonard 1953a, Wasshausen 1975		Subarbusto, Arbusto	Nativa	No Evaluada	Wood 5220 (COL)	Tipo de Colombia	Andes, Valle del Magdalena	170 m	1050 m	Antioquia, Cundinamarca, Meta, Tolima	
7	ACANTHACEAE	Aphelandra	Aphelandra blandii	Lindau		Lindau 1897, Leonard 1953a, Wasshausen 1975		Arbusto, Arbolito	Nativa	No Evaluada	Araque 1932 (COL?, US)	Tipo de Colombia	Andes	1230 m	2700 m	Antioquia, Cundinamarca, Valle	
8	ACANTHACEAE	Aphelandra	Aphelandra botanodes	Leonard		Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Triana s.n. (COL)	Conocida solo del tipo	Pac?fico	170 m	170 m	Choc?	
9	ACANTHACEAE	Aphelandra	Aphelandra boyacensis	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Cogollo 543 (JAUM, MO)	Tipo de Colombia	Andes, Valle del Magdalena	325 m	1524 m	Antioquia, Boyac?, Cundinamarca	
10	ACANTHACEAE	Aphelandra	Aphelandra chaponensis	Leonard	Aphelandra atecmarta Leonard	Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Lawrance 18 (MO, US)	Tipo de Colombia	Andes	780 m	2250 m	Antioquia, Boyac?, Cundinamarca	
