gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4058735297	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2090	Animalia	Chordata	Squamata		Colubridae	Helicops	Helicops danieli		SPECIES	Helicops danieli Amaral, 1938	Helicops danieli	Amaral, 1938	CO	Colorado	Bolívar	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2457693	2457693	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2090			CC_BY_NC_4_0					2023-03-16T21:45:37.910Z		
4058735296	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2091	Animalia	Chordata	Crocodylia		Alligatoridae	Caiman	Caiman crocodilus		SPECIES	Caiman crocodilus (Linnaeus, 1758)	Caiman crocodilus	(Linnaeus, 1758)	CO	Colorado	Bolívar	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	8953936	8953936	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2091			CC_BY_NC_4_0					2023-03-16T21:45:37.907Z		
4058735295	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2092	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis auratus		SPECIES	Anolis auratus Daudin, 1802	Anolis auratus	Daudin, 1802	CO	Colorado	Bolívar	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.628628	-75.268519			26.0	9.0			2022-09-30T00:00:00	30	9	2022	9129157	9129157	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2092			CC_BY_NC_4_0					2023-03-16T21:45:37.903Z		
4058735294	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2093	Animalia	Chordata	Amphibia	Anura	Hylidae	Boana	Boana pugnax		SPECIES	Boana pugnax (Schmidt, 1857)	Boana pugnax	(Schmidt, 1857)	CO	Colorado	Bolívar	PRESENT	5	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.628628	-75.268519			26.0	9.0			2022-09-30T00:00:00	30	9	2022	10820559	10820559	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2093			CC_BY_NC_4_0					2023-03-16T21:45:37.900Z		
4058735293	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2087	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	Leptodactylus poecilochilus		SPECIES	Leptodactylus poecilochilus (Cope, 1862)	Leptodactylus poecilochilus	(Cope, 1862)	CO	Colorado	Bolívar	PRESENT	6	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	5217583	5217583	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2087			CC_BY_NC_4_0					2023-03-16T21:45:37.897Z		
4058735292	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2088	Animalia	Chordata	Squamata		Sphaerodactylidae	Lepidoblepharis	Lepidoblepharis sanctaemartae		SPECIES	Lepidoblepharis sanctaemartae (Ruthven, 1916)	Lepidoblepharis sanctaemartae	(Ruthven, 1916)	CO	Colorado	Bolívar	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2446446	2446446	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2088			CC_BY_NC_4_0					2023-03-16T21:45:37.892Z		
4058735291	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2089	Animalia	Chordata	Squamata		Gymnophthalmidae	Loxopholis	Loxopholis rugiceps		SPECIES	Loxopholis rugiceps Cope, 1869	Loxopholis rugiceps	Cope, 1869	CO	Colorado	Bolívar	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2450523	2450523	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2089			CC_BY_NC_4_0					2023-03-16T21:45:37.889Z		
4058735290	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2083	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Engystomops	Engystomops pustulosus		SPECIES	Engystomops pustulosus (Cope, 1864)	Engystomops pustulosus	(Cope, 1864)	CO	Colorado	Bolívar	PRESENT	12	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2423497	2423497	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2083			CC_BY_NC_4_0					2023-03-16T21:45:37.886Z		
4058735289	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2084	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Pseudopaludicola	Pseudopaludicola pusilla		SPECIES	Pseudopaludicola pusilla (Ruthven, 1916)	Pseudopaludicola pusilla	(Ruthven, 1916)	CO	Colorado	Bolívar	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2423515	2423515	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2084			CC_BY_NC_4_0					2023-03-16T21:45:37.883Z		
4058735288	81e30789-b494-4fe8-86b9-d2b43806f682	Promigas:Paiva-Caracoli_2022:2085	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis gaigei		SPECIES	Anolis gaigei Ruthven, 1916	Anolis gaigei	Ruthven, 1916	CO	Colorado	Bolívar	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	10.632524	-75.27302			28.0	10.0			2022-09-29T00:00:00	29	9	2022	2467747	2467747	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			2085			CC_BY_NC_4_0					2023-03-16T21:45:37.880Z		
