gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4055586975	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR1585	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Poecilotriccus	Poecilotriccus sylvia		SPECIES	Poecilotriccus sylvia (Desmarest, 1806)	Poecilotriccus sylvia	(Desmarest, 1806)	CO	El Cincuenta	Antioquia	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.64495	-74.899151			71.0	21.0			2022-08-19T00:00:00	19	8	2022	2483899	2483899	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez01585			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.162Z		
4055586974	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0255	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columbina	Columbina talpacoti		SPECIES	Columbina talpacoti (Temminck, 1810)	Columbina talpacoti	(Temminck, 1810)	CO		Córdoba	PRESENT	4	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.486426	-75.371885			39.0	14.0			2022-08-01T00:00:00	1	8	2022	2495858	2495858	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00255			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.162Z		
4055586973	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR1584	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Nyctidromus	Nyctidromus albicollis		SPECIES	Nyctidromus albicollis (J.F.Gmelin, 1789)	Nyctidromus albicollis	(J.F.Gmelin, 1789)	CO	El Cincuenta	Antioquia	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.64495	-74.899151			71.0	21.0			2022-08-19T00:00:00	19	8	2022	2496990	2496990	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez01584			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.161Z		
4055586972	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0256	Animalia	Chordata	Aves	Columbiformes	Columbidae	Leptotila	Leptotila verreauxi		SPECIES	Leptotila verreauxi Bonaparte, 1855	Leptotila verreauxi	Bonaparte, 1855	CO		Córdoba	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.486426	-75.371885			39.0	14.0			2022-08-01T00:00:00	1	8	2022	2496060	2496060	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00256			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.162Z		
4055586971	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:P8O-PB5	Plantae	Tracheophyta	Magnoliopsida	Ericales	Lecythidaceae	Gustavia	Gustavia nana		SPECIES	Gustavia nana Pittier	Gustavia nana	Pittier	CO	La Florida	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.025955	-75.324704			58.0	0.0			2022-07-06T00:00:00	6	7	2022	5383844	5383844	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			P8O-PB5			CC_BY_NC_4_0		Omar Pinzón			2023-03-15T15:17:37.163Z		
4055586970	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0253	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Myiozetetes	Myiozetetes similis		SPECIES	Myiozetetes similis (Spix, 1825)	Myiozetetes similis	(Spix, 1825)	CO		Córdoba	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.486426	-75.371885			39.0	14.0			2022-08-01T00:00:00	1	8	2022	2482913	2482913	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00253			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.161Z		
4055586969	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR1587	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Myrmeciza	Myrmeciza exsul		SPECIES	Poliocrania exsul (P.L.Sclater, 1859)	Poliocrania exsul	(P.L.Sclater, 1859)	CO	El Cincuenta, La Union	Antioquia	PRESENT	5	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.644456	-74.903499			71.0	21.0			2022-08-19T00:00:00	19	8	2022	9599432	2490163	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez01587			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.161Z		
4055586968	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0254	Animalia	Chordata	Aves	Passeriformes	Icteridae	Psarocolius	Psarocolius decumanus		SPECIES	Psarocolius decumanus (Pallas, 1769)	Psarocolius decumanus	(Pallas, 1769)	CO		Córdoba	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.486426	-75.371885			39.0	14.0			2022-08-01T00:00:00	1	8	2022	2484217	2484217	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00254			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.162Z		
4055586967	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR1586	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	Tinamus major		SPECIES	Tinamus major (J.F.Gmelin, 1789)	Tinamus major	(J.F.Gmelin, 1789)	CO	El Cincuenta	Antioquia	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.64495	-74.899151			71.0	21.0			2022-08-19T00:00:00	19	8	2022	2477630	2477630	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez01586			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.162Z		
4055586966	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0251	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Formicivora	Formicivora grisea		SPECIES	Formicivora grisea (Boddaert, 1783)	Formicivora grisea	(Boddaert, 1783)	CO		Córdoba	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.486426	-75.371885			39.0	14.0			2022-08-01T00:00:00	1	8	2022	2490042	2490042	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00251			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:37.161Z		
