species	Nombre_Esp	Nombre_Ing	Cat.	Paises	Region	Fuente
Nothocercus julius	Tunam? Leonado	Tawny-breasted Tinamou	CE	V4, E2, Pe2	B6,B8a,C3,C4,C5	4, 19, 71, 79, 82, 105, 113, 147
Tinamus osgoodi	Tinam? Negro	Black Tinamou	II	Pe3	A8,B5,B6	42, 43, 62, 68, 92, 141
Crypturellus berlepschi	Tinam? de Berlepsch	Great Tinamou	CE	E1	A3	8, 19, 100
Crypturellus duidae	Tinam? Patigr?s	Gray-legged Tinamou	II	V5, Pe3, Br	A8	8, 19, 99, 100
Crypturellus kerriae	Tinam? del Choc?	Choco Tinamou	CE	P	A3	
Crypturellus casiquiare	Tinam? Barrado	Barred Tinamou	II	Br, Pe3, V5	A8	2
Chauna chavaria	Chavarr?a	Northern Screamer	CE	V3	A1,A2	74
Anas andium	Pato Andino	Andean Teal	CE	V4, E2, Pe2	C4,C5a	105, 149
Penelope ortoni	Pava del Baud?	Baudo Guan	CE	E1	A3,B3,B4a	8, 19, 34
Mitu salvini	Pav?n Nag?iblanco	Salvin's Curassow	EI	E3, Pe3, Br	A8	2, 127
Pauxi pauxi	Pav?n Copete de Piedra	Helmeted Curassow	CE	V2, V4, V5, V6	A6,B8a	49, 59, 130, 131, S. Cordoba obs.pers (1996 Oca?a via Abrego)
Odontophorus atrifrons	Perdiz Carinegra	Black-fronted Wood-Quail	CE	V2	B1,B7	121, 137
Odontophorus erythrops	Perdiz Collareja	Rufous-fronted Wood-Quail	CE	E1	A3,A2,B7	8, 19, 41
Odontophorus melanonotus	Perdiz de Nari?o	Dark-backed Wood-Quail	II	E1	B3	19
Odontophorus dialeucos	Perdiz Kat?a	Tacarcuna Wood-Quail	CE	P	B9,A2	111
Puffinus lherminieri	Pardela de Audubon	Audobon's Shearwater	CEa	Ca, b, c	A9	7, 89
Sula sula	Piquero patirrojo	Red-footed Booby	CEa	Ca, b, c	A9	7, 89
Sula grantii	Piquero de Nazca	Nazca Booby	CEa	E1a	A10a	60, 61
Accipiter collaris	Azor Collarejo	Semicollared Hawk	CE	V4, E2, E3, Pe3	A1,B1,B5,C4	4, 42, 43, 92, 117, 137
Leucopternis plumbeus	?guila Pizarra	Semiplumbeous Hawk	CE	E1, Pe1, P	A3	8, 19
Micrastur plumbeus	Halc?n de Munchique	Plumbeous Forest-Falcon	CE	E1	A3,A4,B3	45
Phalcoboenus carunculatus	Guaraguaco Paramuno	Carunculated Caracara	EI	E2	C4	4, 28, 82
Aramides wolfi	Chilacoa Caf?	Brown Wood-Rail	EI	E1,Pe1	A3	8, 19
Neocrex colombiana	Polluella Pizarra	Colombian Crake	CE	P, E1	A1,A3,B1,B3	
Gallinago nobilis	Caica Paramuna	Noble Snipe	CE	V4, E2, Pe2	B5,C4,C5a	4, 149
Creagrus furcatus	Gaviota Rabihorcada	Swallow-tailed Gull	CEa	E1a	A10a,A10b	1, 54
Patagioenas goodsoni	Torcaza Alirrufa	Dusky Pigeon	CE	E1, P	A2,A3	19
Leptotila pallida	Caminera Colorada	Pallid Dove	EI	E1	A3	8, 19
Geotrygon goldmani	Paloma-Perdiz Cabecicanela	Russet-crowned Quail-Dove	CE	P	A2,A3,B9	95
Geotrygon veraguensis	Paloma-Perdiz Cariblanca	Olive-backed Quail-Dove	CE	Cr, P, E1	A3,A2	8, 19
Geotrygon linearis	Paloma-Perdiz Lineada	Lined Quail-Dove	CE	V2, V4, V6	C1,B7,B8a,B5	4, 23, 31, 77, 138
Ara ambiguus	Guacamaya Verdelim?n	Great Green Macaw	EI	Cr, Ho, Ni, E1, P	A2,A3	
Ognorhynchus icterotis	Perico Palmero, Loro Orejiamarillo	Yellow-eared Parrot	CE	E2	B5,B6,B8,C3,C4, C5	20, 30, 36, 83, 97, 103
Forpus conspicillatus	Periquito de Anteojos	Spectacled Parrotlet	CE	V5, P	A2,A5,C5a,B5,B7, B6	13, 22, 53, Sua-Becerra obs pers Sabana de Bogot?
Touit dilectissimus	Periquito Alirrojo	Blue-fronted Parrotlet	CE	P, V2, V4, E1	A3,A2,B5	42, 43
Pyrilia pulchra	Cotorra Rubicunda	Rose-faced Parrot	CE	E1	A3,B3	8, 19
Pyrilia pyrilia	Cotorra Cabeciamarilla	Saffron-headed Parrot	CE	V2, V3, P	A2,A3,B2,B5,B8	19
Hapalopsittaca amazonina	Cotorra Monta?era	Rusty-faced Parrot	CE	V4	C3,C4,C5	8, 49, 71, 146
Pionus chalcopterus	Cotorra Maicera	Bronze-winged Parrot	CE	E1, Pe1, V4	C4,B5,B7,B8,C5	4, 77, 125, 147
Coccycua pumila	Cuclillo Rabicorto	Dwarf Cuckoo	EI	V2, V3, V4, V5, Br	A1,A2,B5,C4,B3a, B4	4, 8, 9, 19, 33, 53, 63, 96, 105, 110, 146, 149, 
Neomorphus radiolosus	Correcaminos Escamado	Banded Ground-Cuckoo	CE	E1	A3,B3	20
Megascops colombianus	Currucut? Colombiano	Colombian Screech-Owl	CE	E2	B3,B4b	
Megascops petersoni	Currucut? Canela	Cinnamon Screech-Owl	II	E3, Pe3	B5,B8	42, 57
Glaucidium nubicola	Buh?to Nub?cola	Cloud-forest Pygmy-Owl	CE	E1	B3	55
Nyctiphrynus rosenbergi	Guardacaminos Chocoano	Choco Poorwill	CE	E1	A3	20
Caprimulgus heterurus	Guardacaminos de Todd	Todd's Nightjar	II	V3, V5, V6	A1,B1,B2	94
Cypseloides cherriei	Vencejo cuatro ojos	Spot-fronted Swift	II	Cr, V6, E2, E3	B7	26, 86, 106, 148
Cypseloides lemosi	Vencejo Pechiblanco	White-chested Swift	II	E3	B4a	33, 50, 101, 118
Phaethornis anthophilus	Ermita?o Carinegro	Pale-bellied Hermit	EI	V2, V3, V5, V6, P	A1,A2,A5,A6,A7,B1,B2,B5,B6,B7,B8, A3,B3	49, 134
Phaethornis yaruqui	Ermita?o del Pacifico	White-whiskered Hermit	CE	E1, P	A3,B3	
Androdon aequatorialis	Colibri dentado	Tooth-billed Hummingbird	CE	E1, P	A3,A2	
Heliangelus exortis	Heli?ngelus belicosos	Tourmaline Sunangel	CE	E2, E3	C3,C4,C5	
Aglaiocercus coelestis	Silfo violeta	Violet-tailed Sylph	CE	E1	A3,B3	
Chalcostigma heteropogon	Pico de Tuna bronc?neo	Bronze-tailed Thornbill	CE	V4	C5	
Chalcostigma herrani	Pico de Tuna Arcoiris	Rainbow-bearded Thornbill	EI	E2, Pe2	C3,C4	
Oxypogon guerinii	Barbudito paramuno	Bearded Helmetcrest	CE	V4	C1,C4,C5	
Metallura iracunda	Metaluta de Perij?	Perija Metaltail	CE	V2	B2,C2	
Metallura williami	Metalura Verde	Viridian Metaltail	EI	E2	C3,C4	8, 71, 83, 105, 149
Haplophaedia aureliae	Helechero com?n	Greenish Puffleg	CE	P, E3	B3,C3,C4,C5	
Haplophaedia lugens	Helechero del Pac?fico	Hoary Puffleg	CE	E1	B3	11
Eriocnemis derbyi	Paramero Rabihorcado	Black-thighed Puffleg	CE	E2	C4	
Eriocnemis godini	Paramero Turquesa	Turquoise-throated Puffleg	II	E2	C4	8
Eriocnemis cupreoventris	Paramero cobrizo	Coppery-bellied Puffleg	CE	E2	C5	
Eriocnemis mosquera	Paramero ?ureo	Golden-breasted Puffleg	CE	E2	B3,C3,C4	4, 45, 71
Coeligena wilsoni	Inca Pardo	Brown Inca	CE	E1	A3,B3	
Coeligena bonapartei	Inca Dorado	Golden-bellied Starfrontlet	CE	V2,V4	C2,C5	5, 49
Coeligena helianthea	Inca ventrirrojo	Blue-throated Starfrontlet	CE	V2,V4	B2,C2,C5	
Coeligena lutetiae	Inca Soldado	Buff-winged Starfrontlet	EI	E2, Pe2	C4	
Boissonneaua jardini	Colibri alirrufo	Velvet-purple Coronet	CE	E2	A3,B3	
Urochroa bougueri	Colibri nag?iblanco	White-tailed Hillstar	CE	E1, E2, Pe3	B3,B8b,C3,C5	
Urosticte benjamini	Colibri de Gargantilla	Purple-bibbed Whitetip	CE	E1, E2	A3,B3	
